'(?i) Inc\b'
'(?i) Ltd\b'
'(?i) LLC\b'
'(?i) GmbH\b'
'(?i) Corporation\b'
'(?i) Limited\b'
'(?i) AG\b'
'(?i) Company\b'
'(?i) ab\b'
'(?i) S\.L\.\b'
'(?i) Corp\b'
'(?i) AS\b'
'(?i) S\.A\.\b'
'(?i) S\.S\.\b'
'(?i) S\.F\.\b'
'(?i) B\.T\.\b'
'(?i) PTY\b'
'(?i) TU\b'
'(?i) oy\b'
'(?i) SE\b'
'(?i) SRL\b'
'(?i) S\.E\.\b'
'(?i) KG\b'
'(?i) cn\b'
'(?i) S\.A\.T\.\b'
'(?i) C\.A\.\b'
'(?i) PT\b'
'(?i) A/S\b'
'(?i) SA\b'
'(?i) S\.C\.A\.\b'
'(?i) BV\b'
'(?i) A\.I\.E\.\b'
'(?i) BR\b'
'(?i) NL\b'
'(?i) emc\b'
'(?i) Ltd\.\b'
'(?i) ApS\b'
'(?i) SAS\b'
'(?i) s\.p\.\b'
'(?i) P\.C\.\b'
'(?i) P\.A\.\b'
'(?i) PL\b'
'(?i) d\.d\.\b'
'(?i) B\.C\.\b'
'(?i) LLP\b'
'(?i) e\.G\.\b'
'(?i) A\.C\.\b'
'(?i) S\.C\.\b'
'(?i) SP\b'
'(?i) c\.p\.\b'
'(?i) DA\b'
'(?i) t\.p\.\b'
'(?i) F\.I\.\b'
'(?i) N\.V\.\b'
'(?i) E\.U\b'
'(?i) LP\b'
'(?i) EU\b'
'(?i) S\.I\.C\.\b'
'(?i) S\.C\.E\.\b'
'(?i) BVBA\b'
'(?i) LG\b'
'(?i) SPA\b'
'(?i) PLC\b'
'(?i) L\.C\.\b'
'(?i) E\.U\.\b'
'(?i) Bhd\b'
'(?i) Rt\.\b'
'(?i) Incorporated\b'
'(?i) S\.C\b'
'(?i) CC\b'
'(?i) k\.d\.\b'
'(?i) GbR\b'
'(?i) S\.N\.C\.\b'
'(?i) S\.P\.A\.\b'
'(?i) C\.E\.R\.\b'
'(?i) B\.V\.\b'
'(?i) S\.I\.I\.\b'
'(?i) MS\b'
'(?i) AM\b'
'(?i) S\.A\.S\b'
'(?i) NV\b'
'(?i) P\.C\b'
'(?i) S\.A\.L\.\b'
'(?i) AD\b'
'(?i) Bt\.\b'
'(?i) ASA\b'
'(?i) SI\b'
'(?i) PC\b'
'(?i) e\.V\.\b'
'(?i) CV\b'
'(?i) SC\b'
'(?i) p\.l\.c\.\b'
'(?i) L\.P\.\b'
'(?i) S\.A\.P\.\b'
